ImageId,EncodedPixels
648c8ffa496e1716017906d0bf135debfc93386ae86aa3d4adbda9a505985fd9,14939 5 15194 7 15450 7 15706 8 15961 9 16217 10 16474 9 16730 9 16986 10 17242 10 17499 9 17755 9 18011 9 18268 8 18524 8 18780 8 19036 8 19292 8 19548 8
648c8ffa496e1716017906d0bf135debfc93386ae86aa3d4adbda9a505985fd9,2751 7 3006 9 3262 10 3517 11 3774 10 4030 10 4287 9 4543 9 4799 9 5056 8 5312 7 5567 7 5823 6
648c8ffa496e1716017906d0bf135debfc93386ae86aa3d4adbda9a505985fd9,12262 6 12517 8 12772 10 13028 11 13283 12 13539 12 13796 11 14053 10 14311 8 14570 3
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,57351 6 57605 9 57860 11 58115 12 58370 14 58626 14 58882 14 59138 14 59394 13 59650 13 59906 12 60162 10 60418 8 60675 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,33294 7 33550 9 33805 10 34061 11 34317 11 34574 9 34830 8 35087 6
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,25911 6 26166 8 26421 10 26677 10 26933 11 27189 11 27445 11 27701 10 27958 9 28215 7 28473 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,29037 7 29292 10 29547 12 29803 13 30058 15 30315 15 30571 15 30827 15 31084 14 31341 13 31598 11 31856 8
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,62064 7 62318 11 62572 14 62827 15 63083 16 63339 16 63595 16 63851 15 64108 13 64365 11 64624 6
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,51837 4 52090 9 52345 11 52600 13 52855 14 53111 14 53367 14 53623 14 53879 14 54135 13 54392 11 54650 7
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,18300 7 18554 11 18809 14 19065 15 19321 16 19577 16 19833 16 20089 16 20345 16 20602 14 20859 12 21117 7
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,42371 8 42625 14 42880 17 43135 20 43391 21 43647 22 43903 22 44159 23 44415 23 44672 22 44929 20 45186 19 45443 16 45701 12 45959 6
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,4522 7 4776 11 5031 13 5286 15 5542 16 5798 17 6054 18 6310 19 6566 20 6822 20 7079 20 7335 20 7592 19 7849 18 8106 17 8363 16 8621 14 8878 13 9138 9
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,5313 5 5568 8 5823 10 6079 10 6336 9 6592 9 6849 8 7106 6 7364 3
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,64466 7 64721 11 64976 14 65232 15
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,60933 4 61187 8 61442 10 61697 12 61953 13 62209 14 62465 15 62721 16 62977 17 63233 17 63489 18 63745 18 64001 19 64258 18 64515 17 64772 16 65029 15 65286 14
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,22022 5 22277 7 22532 9 22787 10 23043 10 23299 10 23555 9 23811 9 24068 7 24324 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,13101 3 13355 7 13611 9 13867 10 14123 11 14380 11 14636 11 14893 10 15150 10 15407 9 15664 7 15922 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,34120 3 34374 7 34629 8 34884 10 35140 10 35395 10 35651 10 35907 10 36163 9 36420 7 36677 5 36935 1
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,21601 7 21856 10 22112 11 22368 12 22624 13 22880 13 23136 13 23393 12 23650 11 23906 11 24163 9 24421 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,12916 7 13172 8 13427 10 13683 10 13939 11 14196 10 14452 10 14709 9 14966 7 15224 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,50831 4 51086 6 51341 8 51597 9 51852 10 52108 11 52364 11 52620 11 52875 12 53131 12 53387 12 53643 12 53899 12 54155 12 54411 12 54667 12 54923 11 55180 10 55436 9 55693 8 55949 7
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,30355 5 30611 6 30866 7 31122 7 31377 9 31633 8 31888 9 32144 9 32401 8 32657 7 32914 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,2208 8 2463 10 2719 12 2974 14 3230 15 3486 16 3743 15 3999 16 4256 15 4513 14 4771 12 5029 10 5287 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,28582 5 28837 8 29093 9 29348 10 29604 11 29860 12 30116 12 30372 12 30628 12 30885 11 31141 11 31398 9 31655 7 31912 5 32169 3
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,20179 5 20434 7 20689 8 20944 10 21200 10 21456 11 21712 11 21967 13 22224 12 22480 12 22736 12 22992 12 23249 11 23505 11 23762 9 24019 7 24278 1
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,470 9 726 10 981 12 1236 13 1492 14 1748 14 2004 15 2261 14 2517 14 2773 14 3030 13 3286 13 3543 12 3800 10 4058 8
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,54242 6 54497 9 54753 10 55008 12 55264 12 55520 13 55776 14 56032 15 56288 15 56545 15 56801 16 57058 16 57315 15 57572 15 57829 14 58086 13 58343 12 58600 11 58857 9 59114 8 59372 5
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,521 5 781 5 1041 5 1301 5 1561 6 1821 7 2081 8 2341 7 2601 6 2861 6 3121 6 3381 5 3641 5 3901 5 4161 5 4421 5 4681 4 4941 4 5201 2
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,25485 5 25743 9 26002 11 26262 11 26522 11 26781 12 27041 12 27302 10 27562 8
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,67618 7 67875 11 68133 14 68391 17 68649 19 68904 24 69164 24 69424 24 69686 1 69689 18 69951 14 70214 9
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,49409 6 49667 9 49926 9 50186 8 50447 5
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,59293 3 59551 7 59810 9 60070 10 60330 11 60589 12 60848 14 60863 2 61108 19 61369 21 61629 24 61891 24 62151 25 62412 24 62672 24 62933 23 63194 21 63455 20 63717 5 63723 11 63988 1
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,81397 4 81655 10 81915 12 82174 15 82434 16 82693 18 82953 18 83213 18 83473 18 83732 18 83992 1 83994 16 84254 16 84513 16 84772 17 85031 19 85291 19 85550 20 85809 22 86069 22 86328 23 86588 1 86590 21 86850 21 87110 21 87371 20 87632 18 87893 16 88154 14 88418 8
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,41359 4 41617 7 41876 9 42136 9 42395 11 42655 11 42915 12 43175 13 43435 14 43695 14 43955 15 44215 15 44475 15 44735 15 44996 13 45257 11 45518 9
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,50208 7 50466 11 50725 13 50984 15 51243 16 51503 17 51762 17 52022 15 52038 1 52281 16 52541 15 52800 16 53060 15 53321 13 53581 12 53843 8 54104 4
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,36946 11 37205 13 37464 14 37723 15 37983 15 38242 16 38501 17 38761 16 39021 14 39281 12 39541 11 39802 9 40063 6
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,2383 2 2640 7 2899 9 3158 11 3416 11 3428 2 3675 12 3934 13 4194 13 4453 14 4713 14 4973 14 5233 13 5493 13 5754 12 6016 7
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,15652 9 15909 13 16167 15 16425 18 16685 18 16945 19 17205 19 17466 18 17726 17 17986 1 17988 14 18244 3 18248 1 18250 10 18503 6 18510 1 18512 1 18763 8 18772 1 19023 1 19027 6 19290 4 19544 3 19551 3 19801 9 19812 2 20059 12 20072 2 20319 14 20578 15 20837 16 21096 17 21356 17 21617 14 21878 13 22139 11 22400 9 22662 5
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,12260 9 12519 12 12778 15 13037 16 13297 17 13557 17 13817 18 14078 16 14339 15 14600 13 14861 9
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,58278 7 58537 11 58797 12 59057 12 59317 11 59580 7
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,41643 3 41901 7 42161 8 42420 9 42680 8 42941 6 43202 3
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,49972 8 50231 11 50490 14 50749 16 51009 17 51268 19 51528 19 51788 20 52049 19 52310 16 52571 14 52834 9
699f2992cd71e2e28cf45f81347ff22e76b37541ce88087742884cd0e9aadc68,29434 5 29692 9 29952 10 30211 11 30471 12 30731 13 30990 15 31250 16 31510 16 31771 15 32032 14 32292 14 32553 13 32813 14 33074 13 33335 11 33595 9 33858 2
