ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45105 7 45359 10 45614 12 45869 13 46125 13 46381 13 46637 13 46893 12 47150 9 47408 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50280 6 50533 11 50788 13 51043 14 51298 15 51553 16 51809 16 52064 17 52320 17 52576 17 52832 16 53089 15 53346 13 53602 11 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10893 3 11146 8 11400 11 11655 12 11910 13 12166 13 12422 13 12677 14 12933 13 13189 13 13445 12 13701 11 13957 10 14214 8 14471 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31635 4 31885 12 32138 15 32393 16 32648 17 32903 18 33159 18 33415 18 33671 17 33927 17 34183 16 34439 15 34696 12 34952 11 35209 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50843 2 51096 7 51351 8 51605 10 51860 11 52115 12 52371 12 52626 13 52882 13 53137 13 53393 12 53649 11 53905 10 54161 9 54418 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38565 3 38818 7 39073 9 39327 11 39582 12 39837 13 40093 13 40349 13 40605 12 40861 12 41117 11 41374 10 41630 9 41888 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,13313 5 13569 7 13825 8 14081 8 14337 9 14593 9 14849 9 15105 9 15361 9 15617 9 15873 9 16129 9 16385 9 16641 9 16897 8 17153 7 17409 7 17665 6 17921 5 18177 4
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,51978 5 52233 8 52488 10 52743 12 52999 12 53255 13 53511 13 53767 13 54024 12 54280 11 54537 10 54793 10 55050 8 55307 6
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,39703 7 39957 11 40211 14 40466 15 40721 17 40977 17 41232 19 41488 20 41744 20 42000 20 42257 19 42513 19 42769 18 43026 17 43283 15 43540 13 43797 10 44054 7 44310 6
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,52510 8 52766 9 53021 11 53276 12 53532 12 53787 13 54043 14 54298 15 54554 14 54810 14 55066 13 55322 13 55578 12 55834 10 56092 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,2083 1 2337 8 2592 11 2847 14 3102 16 3358 17 3612 20 3868 21 4124 21 4380 22 4636 22 4892 23 5147 24 5403 24 5659 24 5915 23 6171 23 6428 20 6684 18 6941 14 7200 3
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,10531 11 10786 13 11042 14 11297 16 11552 18 11807 19 12062 20 12318 20 12574 20 12829 21 13086 20 13342 20 13598 20 13854 20 14110 20 14366 20 14622 20 14879 19 15135 18 15392 16 15648 15 15904 13 16161 10 16418 8
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,28964 5 29219 7 29474 9 29729 11 29985 11 30241 11 30497 12 30753 12 31009 12 31265 12 31521 12 31778 11 32034 10 32292 7 32549 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,47152 11 47407 13 47661 15 47917 16 48172 17 48428 17 48684 17 48940 17 49196 16 49453 15 49709 15 49965 15 50221 15 50478 13 50734 13 50991 12 51248 11 51504 10 51762 8 52020 5 52277 4
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,20783 7 21038 9 21293 10 21549 11 21805 11 22061 11 22317 11 22573 11 22830 10 23087 8 23344 6
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,38462 8 38717 9 38972 11 39227 12 39482 13 39738 13 39993 14 40249 14 40504 15 40760 15 41016 15 41271 16 41527 15 41783 15 42039 14 42295 14 42551 13 42807 12 43064 10 43321 7
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,26179 7 26434 9 26689 11 26945 12 27201 13 27457 13 27713 13 27969 13 28225 13 28481 13 28737 13 28993 13 29250 11 29508 7
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,27254 9 27508 15 27763 17 28018 19 28274 19 28530 19 28785 20 29041 20 29297 20 29553 20 29809 20 30066 18 30322 17 30579 16 30836 14 31094 10 31352 6
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,4984 4 5238 10 5494 12 5749 14 6005 15 6261 16 6516 17 6772 17 7028 17 7284 18 7540 18 7796 18 8053 17 8309 17 8565 17 8822 15 9079 14 9336 12 9594 9
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,20107 9 20360 13 20615 16 20870 17 21125 19 21381 19 21637 19 21893 19 22148 20 22404 20 22660 20 22916 20 23172 20 23429 18 23685 17 23942 15 24199 12
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,2448 5 2703 7 2958 10 3213 12 3469 13 3725 13 3980 15 4236 16 4492 17 4748 18 5004 20 5261 21 5517 22 5774 22 6030 22 6287 22 6544 21 6801 20 7059 18 7316 17 7574 15 7832 12 8090 9 8349 4
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,11923 7 12177 11 12432 13 12687 15 12942 16 13198 17 13454 17 13709 17 13965 17 14221 17 14477 17 14734 16 14990 16 15247 15 15504 13 15763 9
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,9634 12 9888 16 10143 18 10399 18 10654 20 10910 20 11166 20 11422 20 11678 20 11934 20 12190 20 12447 18 12704 17 12961 15 13218 13 13475 11 13731 8
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,30121 10 30376 12 30631 14 30887 15 31143 16 31398 17 31654 18 31910 18 32166 18 32422 19 32678 19 32934 19 33190 19 33446 19 33702 19 33958 18 34215 17 34472 15 34729 13 34987 9 35246 3
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,21679 5 21932 10 22187 12 22442 15 22698 17 22954 18 23209 21 23465 22 23721 22 23977 22 24233 22 24489 22 24745 22 25001 22 25258 21 25514 21 25770 21 26027 19 26284 17 26542 11 26800 6
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,15795 9 16048 13 16303 15 16557 17 16813 18 17068 20 17324 20 17580 20 17836 20 18092 20 18348 20 18604 20 18861 18 19117 18 19374 16 19631 14 19889 10
